Animal,Condition,Phase,Pct Component Time Freezing
1,Veh,baseline,0
1,Veh,tone,22.2
1,Veh,trace,42.351
2,Veh,baseline,1.83
2,Veh,tone,51.351
2,Veh,trace,46.299
3,Veh,baseline,0
3,Veh,tone,17.133
3,Veh,trace,13.901
4,Veh,baseline,1.5
4,Veh,tone,12.133
4,Veh,trace,10.651
5,Veh,baseline,0.86
5,Veh,tone,48.351
5,Veh,trace,50.016
6,SCH,baseline,0.86
6,SCH,tone,8.584
6,SCH,trace,4.267
7,SCH,baseline,1.94
7,SCH,tone,26.45
7,SCH,trace,33.1
8,SCH,baseline,1.61
8,SCH,tone,2.117
8,SCH,trace,1
9,SCH,baseline,5.83
9,SCH,tone,11.4
9,SCH,trace,14.833
10,SCH,baseline,0
10,SCH,tone,2.567
10,SCH,trace,2.116